movie_id,crew_id,role
2,1,Screenplay
3,1,Screenplay
3,2,Producer
3,3,Camera Operator
5,4,Writer
5,5,Writer
5,6,Writer
5,7,Director of Photography
5,8,Creative Consultant
5,9,Editor
5,10,First Assistant Camera
5,11,Director of Photography
5,12,First Assistant Director
5,13,Producer
6,14,Executive Producer
6,15,Original Music Composer
6,16,Director
11,17,Animation
11,18,Director
11,19,Original Music Composer
11,20,Producer
11,21,Producer
11,22,Director of Photography
12,23,Sound Designer
12,24,Animation
12,25,Animation Director
12,26,Production Design
12,27,Second Film Editor
12,28,Story
12,29,Visual Development
12,30,Sculptor
12,31,Director of Photography
12,32,Executive Producer
12,33,Screenplay
12,34,Screenplay
12,35,Producer
12,36,Co-Director
12,37,Original Story
12,38,Original Music Composer
13,15,Original Music Composer
13,39,Director
13,40,Screenplay
13,41,Production Design
13,42,Leadman
13,43,ADR & Dubbing
13,44,Co-Producer
13,45,Stunts
13,46,Thanks
13,47,Sound Re-Recording Mixer
13,48,Stunt Coordinator
14,38,Original Music Composer
14,49,Director of Photography
14,50,Screenplay
14,51,Production Design
14,52,Director
14,53,Thanks
14,54,Music Supervisor
14,55,Script Supervisor
14,56,Choreographer
14,57,Dialogue Editor
14,58,Unit Production Manager
14,59,Thanks
14,60,Producer
15,61,Executive In Charge Of Production
15,62,Screenplay
15,63,Writer
15,64,Art Direction
15,65,Editor
15,66,Director of Photography
15,67,Original Music Composer
15,68,Stunts
15,69,Assistant Editor
16,70,Director
16,71,Producer
16,72,Director of Photography
16,73,Original Music Composer
16,74,Casting
17,75,Director
17,76,Producer
17,77,Producer
17,78,Stunt Coordinator
18,79,Co-Producer
18,80,Second Unit
18,81,Costume Design
18,82,Original Music Composer
18,83,Screenplay
18,84,Story
18,85,Conceptual Design
18,86,Armorer
19,87,Screenplay
19,88,Director of Photography
19,89,Editor
19,90,Director of Photography
19,91,Set Designer
19,92,Producer
20,93,Director
20,94,Executive Producer
20,95,Executive Producer
21,96,Director
22,97,Screenstory
22,98,Screenplay
22,99,Stunts
22,100,Screenstory
22,101,Casting
22,102,Art Direction
22,103,Producer
22,104,Original Music Composer
22,105,Sound Designer
22,106,Video Assist Operator
22,107,Second Unit Cinematographer
22,108,Set Costumer
22,109,Executive Producer
22,110,Director
22,111,Visual Effects
22,112,Casting Assistant
22,113,Pilot
22,114,Stunts
22,115,Stunts
22,116,Makeup Department Head
24,5,Writer
24,6,Writer
24,9,Editor
24,13,Producer
24,117,Director of Photography
24,118,Animation
24,119,Executive Producer
24,120,Executive Producer
24,121,Original Music Composer
24,122,Thanks
24,123,Characters
24,124,Casting Associate
24,125,Makeup Effects
24,126,Grip
24,127,Makeup Effects
25,38,Original Music Composer
25,52,Director
25,128,Original Music Composer
25,129,Director of Photography
25,130,Author
27,131,Editor
27,132,Producer
27,133,Author
28,134,Director
28,135,Producer
28,136,Original Music Composer
28,137,Director of Photography
28,138,Production Manager
28,139,Stunts
28,140,Producer
28,141,Novel
28,142,Assistant Director
28,143,Screenplay
28,144,Musician
30,145,Author
30,146,Director
33,147,Director
33,148,Script Supervisor
33,149,Stunts
33,150,Screenplay
33,151,Production Design
33,152,Original Music Composer
35,153,Original Music Composer
35,154,Animation
35,155,Producer
35,156,Director
35,157,Producer
35,158,Producer
35,159,Screenplay
35,160,Screenplay
35,161,Screenplay
35,162,Animation
38,163,Story
38,164,Director of Photography
38,165,Screenplay
38,166,Original Music Composer
55,167,Editor
55,168,Stunts
55,169,Original Music Composer
55,170,Producer
55,171,Editorial Coordinator
55,172,Thanks
55,173,Thanks
55,174,Director of Photography
55,175,Thanks
55,176,Thanks
55,177,Thanks
58,97,Screenstory
58,98,Screenplay
58,103,Producer
58,107,Second Unit Cinematographer
58,109,Executive Producer
58,110,Director
58,116,Makeup Department Head
58,153,Original Music Composer
58,178,Casting
58,179,Hairstylist
59,180,Executive Producer
59,181,Executive Producer
59,182,Original Music Composer
59,183,Director
62,184,Screenplay
62,185,Production Design
62,186,Novel
63,150,Screenplay
63,187,Camera Operator
63,188,Stunts
63,189,Stunts
63,190,Casting
63,191,Director of Photography
63,192,Producer
63,193,Director
63,194,Rigging Grip
64,94,Executive Producer
64,95,Executive Producer
64,195,Original Music Composer
64,196,Original Music Composer
64,197,Producer
65,174,Director of Photography
65,179,Hairstylist
65,198,Author
65,199,Producer
65,200,Producer
66,147,Director
66,151,Production Design
66,152,Original Music Composer
66,201,Screenplay
67,202,Author
67,203,Line Producer
68,190,Casting
68,191,Director of Photography
68,193,Director
68,204,Original Music Composer
68,205,Screenplay
68,206,Producer
68,207,Screenplay
69,208,Executive Music Producer
69,209,Screenplay
69,210,Producer
69,211,Executive Producer
69,212,Director of Photography
69,213,Stunts
69,214,Stunts
69,215,Color Designer
69,216,Key Hair Stylist
69,217,Visual Effects Supervisor
69,218,Book
69,219,Stunt Coordinator
70,147,Director
70,151,Production Design
70,152,Original Music Composer
70,220,Stunts
70,221,Stunt Coordinator
70,222,Assistant Director
70,223,Additional Music
70,224,Executive Producer
70,225,Screenplay
71,226,Director
71,227,Producer
71,228,Casting
73,229,Director
73,230,Special Effects Supervisor
73,231,Co-Executive Producer
73,232,Casting
74,19,Original Music Composer
74,41,Production Design
74,47,Sound Re-Recording Mixer
74,55,Script Supervisor
74,233,Director of Photography
74,234,Editor
74,235,Author
74,236,Author
74,237,Director
74,238,Producer
74,239,Novel
74,240,Foley
75,116,Makeup Department Head
75,241,Producer
75,242,Casting
75,243,Casting
75,244,Costume Design
75,245,Animation
75,246,Editor
75,247,Original Music Composer
76,248,Screenplay
77,249,Associate Producer
77,250,Casting
77,251,Director of Photography
77,252,Executive Producer
77,253,Producer
77,254,Screenplay
77,255,Author
78,150,Screenplay
78,256,Director
78,257,Production Design
78,258,Casting
78,259,Costume Design
78,260,Screenplay
78,261,Thanks
79,262,Original Music Composer
79,263,Author
79,264,Director of Photography
80,248,Screenplay
80,265,Characters
80,266,Screenplay
80,267,Screenplay
81,268,Director
81,269,Producer
81,270,Original Music Composer
82,259,Costume Design
82,271,Casting
82,272,Editor
82,273,Editor
82,274,Producer
82,275,Writer
82,276,Helicopter Camera
82,277,Costume Design
83,278,Director
83,279,Sound Re-Recording Mixer
83,280,Original Music Composer
85,18,Director
85,19,Original Music Composer
85,234,Editor
85,237,Director
85,281,Screenplay
85,282,Stunts
85,283,Associate Producer
85,284,Sound Designer
85,285,Director of Photography
85,286,Stunts
85,287,Producer
85,288,Story
85,289,Production Intern
86,290,Director of Photography
86,291,Novel
86,292,Original Music Composer
87,17,Animation
87,18,Director
87,19,Original Music Composer
87,234,Editor
87,237,Director
87,238,Producer
87,258,Casting
87,283,Associate Producer
87,284,Sound Designer
87,285,Director of Photography
87,287,Producer
87,288,Story
87,293,Set Decoration
87,294,Costume Design
88,295,Stunt Coordinator
88,296,Director
88,297,Casting
88,298,Choreographer
89,18,Director
89,19,Original Music Composer
89,234,Editor
89,237,Director
89,283,Associate Producer
89,284,Sound Designer
89,285,Director of Photography
89,287,Producer
89,288,Story
89,293,Set Decoration
89,294,Costume Design
89,299,Stunts
89,300,Stunts
89,301,Special Effects
90,103,Producer
90,190,Casting
90,302,Screenplay
90,303,Original Music Composer
90,304,Director
90,305,Producer
90,306,Director of Photography
91,307,Author
92,308,Author
93,309,Title Graphics
93,310,Producer
93,311,Original Music Composer
95,103,Producer
95,105,Sound Designer
95,246,Editor
95,259,Costume Design
95,289,Production Intern
95,297,Casting
95,312,Screenplay
95,313,Producer
95,314,Screenplay
95,315,Screenplay
95,316,Production Manager
95,317,Hair Department Head
96,103,Producer
96,246,Editor
96,297,Casting
96,302,Screenplay
96,303,Original Music Composer
96,305,Producer
96,318,Director
96,319,Screenplay
96,320,Story
97,321,Costume Design
97,322,Producer
98,153,Original Music Composer
98,256,Director
98,277,Costume Design
98,323,Original Music Composer
98,324,Screenplay
98,325,Screenplay
98,326,Editor
98,327,Second Unit Cinematographer
99,94,Executive Producer
99,95,Executive Producer
99,195,Original Music Composer
99,197,Producer
99,328,Stunts
99,329,Thanks
100,330,Director
100,331,Producer
101,80,Second Unit
101,82,Original Music Composer
101,84,Story
102,332,Director
102,333,Screenplay
103,67,Original Music Composer
