id,imdb_id,title,budget,genre,original_language,overview,popularity,release_date,revenue,runtime,vote_average,vote_count
2,tt0094675,Ariel,,18.0,fi,"Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...",3.860491,21/10/1988,,69,7.1,44
3,tt0092149,Shadows in Paradise,,18.0,fi,"An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.",2.29211,16/10/1986,,76,7.1,35
5,tt0113101,Four Rooms,4000000.0,80.0,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,09/12/1995,4300000.0,98,6.5,539
6,tt0107286,Judgment Night,,28.0,en,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,15/10/1993,12136938.0,110,6.4,79
11,tt0076759,Star Wars,11000000.0,12.0,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,25/05/1977,775398007.0,121,8.1,6778
12,tt0266543,Finding Nemo,94000000.0,16.0,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,30/05/2003,940335536.0,100,7.6,6292
13,tt0109830,Forrest Gump,55000000.0,35.0,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,06/07/1994,677945399.0,142,8.2,8147
14,tt0169547,American Beauty,15000000.0,18.0,en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",20.726578,15/09/1999,356296601.0,122,7.9,3438
15,tt0033467,Citizen Kane,839727.0,9648.0,en,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",15.811921,30/04/1941,23217674.0,119,8.0,1244
16,tt0168629,Dancer in the Dark,12800000.0,18.0,en,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",10.684806,17/05/2000,40031879.0,140,7.7,392
